IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
59.17.109.133,39939,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,439,2.02
211.196.128.159,39223,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,728,1.90
210.222.89.200,39146,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,718,1.89
175.193.62.86,39466,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,752,1.84
59.31.73.84,39932,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,675,1.82
59.11.149.84,39297,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,722,1.80
121.146.238.105,39134,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,660,1.77
112.165.102.109,39161,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,704,1.69
14.56.201.108,39038,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,347,1.64
60.250.202.116,39177,TRUE,NRT,JP,Asia Pacific,Tokyo,3462,Data Communication Business Group,383,1.63
59.25.134.26,39130,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,642,1.58
175.193.62.86,39854,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,658,1.48
211.199.12.139,39660,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,692,1.44
59.11.149.84,39924,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,722,1.44
112.186.47.116,39547,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,938,1.41
119.199.216.17,39558,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,704,1.41
59.11.149.84,39366,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,668,1.40
221.147.85.243,39786,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,753,1.39
211.250.13.224,39517,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,445,1.38
61.73.152.230,39252,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,437,1.32
119.197.88.5,39109,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,381,1.30
175.193.62.86,39498,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,656,0.99
167.88.185.60,52096,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,706,0.99
211.63.50.135,39181,TRUE,NRT,JP,Asia Pacific,Tokyo,3786,LG DACOM Corporation,448,0.89
61.23.131.206,39846,TRUE,NRT,JP,Asia Pacific,Tokyo,9824,"JCOM Co., Ltd.",464,0.84
38.47.111.34,41119,TRUE,KIX,JP,Asia Pacific,Osaka,400464,VMISS,291,0.68
62.106.70.27,46918,TRUE,NRT,JP,Asia Pacific,Tokyo,3258,xTom Pty Ltd,301,0.59
141.164.56.255,40006,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,378,0.55
146.56.47.34,61153,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,361,0.45
122.199.120.2,39606,TRUE,NRT,JP,Asia Pacific,Tokyo,9981,Saero Network Service LTD,784,0.34
150.230.107.234,53780,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,537,0.21
218.154.185.221,39858,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,473,0.18
150.230.107.234,47236,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,401,0.18
146.56.179.20,45790,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,340,0.15
168.138.210.152,43164,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,890,0.06
125.135.186.138,39623,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,579,0.05
