IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
113.60.39.177,37921,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,358,1.70
113.60.39.177,39694,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,505,1.66
113.60.39.177,37494,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,386,1.63
113.60.39.177,39521,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,514,1.60
113.60.39.177,37485,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,381,1.57
49.142.246.207,50029,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,343,1.46
59.187.242.236,37896,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,310,1.46
59.187.242.236,38342,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,333,1.43
123.109.78.205,37432,TRUE,ICN,KR,Asia Pacific,Seoul,9689,SK Broadband Co Ltd,363,1.42
59.187.242.236,37287,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,271,1.38
59.187.242.236,38652,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,263,1.35
59.187.242.236,37306,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,261,1.34
59.187.242.236,39737,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,342,1.33
59.187.242.236,37634,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,276,1.27
115.40.67.106,37381,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,425,1.26
59.187.242.236,38978,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,354,1.24
115.40.161.146,39785,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,515,1.13
115.40.67.106,39297,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,496,1.08
113.60.39.177,39932,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,561,1.06
123.109.78.205,39256,TRUE,ICN,KR,Asia Pacific,Seoul,9689,SK Broadband Co Ltd,427,1.03
59.187.242.236,37651,TRUE,ICN,KR,Asia Pacific,Seoul,7562,HCN Dongjak,277,1.00
113.60.39.177,37583,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,373,1.00
115.40.6.148,38041,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,423,0.98
113.60.39.177,39347,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,458,0.98
103.86.44.125,65432,TRUE,HKG,HK,Asia Pacific,Hong Kong,138195,MOACK.Co.LTD,578,0.96
1.177.237.40,39054,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,564,0.95
1.177.237.40,38290,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,493,0.95
210.106.37.109,38465,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,395,0.93
210.106.37.109,38366,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,407,0.93
210.106.37.109,39154,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,564,0.90
210.106.37.109,37498,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,383,0.90
123.248.41.191,38029,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,406,0.90
123.248.102.197,39197,TRUE,HKG,HK,Asia Pacific,Hong Kong,9845,LG HelloVision Corp.,697,0.89
118.127.192.97,38035,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,413,0.89
210.106.37.109,37298,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,382,0.88
1.176.79.203,37816,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,419,0.88
113.60.39.177,38859,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,457,0.88
1.176.114.27,38160,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,466,0.87
1.177.237.40,39726,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,572,0.87
112.72.223.227,50026,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,228,0.87
210.106.37.109,38636,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,375,0.85
1.176.51.102,37965,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,461,0.85
123.248.41.191,39003,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,597,0.85
210.192.80.17,39621,TRUE,ICN,KR,Asia Pacific,Seoul,17577,LG HelloVision Corp.,525,0.85
113.130.241.219,38425,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,435,0.85
123.248.102.197,38443,TRUE,HKG,HK,Asia Pacific,Hong Kong,9845,LG HelloVision Corp.,700,0.85
210.106.37.109,38864,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,543,0.85
1.177.237.40,39602,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,655,0.84
113.60.39.177,39389,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,567,0.84
115.40.247.122,50031,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,498,0.83
1.176.51.102,38579,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,443,0.83
210.106.37.109,39461,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,546,0.83
1.176.79.203,37963,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,410,0.83
123.248.41.191,39668,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,508,0.82
36.38.163.237,39538,TRUE,ICN,KR,Asia Pacific,Seoul,9697,LG HelloVision Corp.,554,0.82
122.128.180.23,37288,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,350,0.82
123.248.102.197,39254,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,598,0.81
123.248.102.197,38473,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,439,0.81
210.106.37.109,37700,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,406,0.80
123.248.102.197,39444,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,619,0.79
123.248.41.191,38260,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,429,0.79
1.177.237.40,38546,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,457,0.79
118.127.192.97,37454,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,411,0.79
1.177.156.230,37796,TRUE,ICN,KR,Asia Pacific,Seoul,9697,LG HelloVision Corp.,453,0.79
210.106.37.109,37529,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,398,0.78
123.248.102.197,39494,TRUE,HKG,HK,Asia Pacific,Hong Kong,9845,LG HelloVision Corp.,743,0.78
115.40.203.212,38694,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,411,0.78
1.176.114.27,38247,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,430,0.77
1.177.156.230,39921,TRUE,ICN,KR,Asia Pacific,Seoul,9697,LG HelloVision Corp.,546,0.77
115.40.6.148,39899,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,563,0.76
113.130.241.219,39776,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,560,0.76
1.176.51.102,39256,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,535,0.75
1.177.156.230,37716,TRUE,ICN,KR,Asia Pacific,Seoul,9697,LG HelloVision Corp.,453,0.75
115.40.203.212,38338,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,418,0.75
210.106.37.109,39538,TRUE,ICN,KR,Asia Pacific,Seoul,17839,LG HelloVision Corp.,501,0.74
1.177.156.230,39068,TRUE,ICN,KR,Asia Pacific,Seoul,9697,LG HelloVision Corp.,568,0.73
115.40.161.146,39554,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,466,0.73
123.248.102.197,37928,TRUE,ICN,KR,Asia Pacific,Seoul,9845,LG HelloVision Corp.,450,0.72
49.143.50.71,38489,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,282,0.71
123.248.102.197,38180,TRUE,HKG,HK,Asia Pacific,Hong Kong,9845,LG HelloVision Corp.,723,0.71
49.143.50.71,38496,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,284,0.71
123.248.102.197,39029,TRUE,HKG,HK,Asia Pacific,Hong Kong,9845,LG HelloVision Corp.,720,0.70
112.72.240.72,50024,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,338,0.70
1.177.156.230,39521,TRUE,ICN,KR,Asia Pacific,Seoul,9697,LG HelloVision Corp.,719,0.69
117.123.27.126,37311,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,355,0.69
1.177.156.230,37829,TRUE,ICN,KR,Asia Pacific,Seoul,9697,LG HelloVision Corp.,441,0.69
1.177.156.230,39096,TRUE,ICN,KR,Asia Pacific,Seoul,9697,LG HelloVision Corp.,612,0.68
49.143.50.71,38346,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,269,0.68
49.143.50.62,38101,TRUE,ICN,KR,Asia Pacific,Seoul,9319,HCN CHUNGBUK CABLE TV SYSTEMS,281,0.67
123.248.102.197,38245,TRUE,HKG,HK,Asia Pacific,Hong Kong,9845,LG HelloVision Corp.,690,0.67
